checkedAt,sku,name,salePrice,regularPrice,url,changed
2025-11-10T13:48:32Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,TRUE
2025-11-10T21:31:49Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-10T21:31:49Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",499.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-10T21:31:49Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-11T13:46:54Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-11T13:46:54Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",499.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-11T13:46:54Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-11T21:31:42Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-11T21:31:42Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",499.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-11T21:31:42Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-12T13:54:16Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-12T13:54:16Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",499.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-12T13:54:16Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-12T21:33:04Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-12T21:33:04Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",499.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-12T21:33:04Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-13T13:51:59Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-13T13:51:59Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",499.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-13T13:51:59Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-13T21:29:03Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-13T21:29:03Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",499.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-13T21:29:03Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-14T13:50:25Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-14T13:50:25Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",499.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-14T13:50:25Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-14T21:31:51Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-14T21:31:51Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",499.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-14T21:31:51Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-15T13:37:07Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-15T13:37:07Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",499.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-15T13:37:07Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-15T21:27:09Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-15T21:27:09Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",499.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-15T21:27:09Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-16T13:41:53Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-16T13:41:53Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",499.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-16T13:41:53Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-16T21:28:27Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
2025-11-16T21:28:27Z,6625874,"TCL - 65"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",499.99,899.99,https://api.bestbuy.com/click/-/6625874/pdp,FALSE
2025-11-16T21:28:27Z,6625834,"TCL - 75"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",649.99,1199.99,https://api.bestbuy.com/click/-/6625834/pdp,FALSE
2025-11-17T13:49:17Z,6625835,"TCL - 55"" Class QM5K Series 4K UHD HDR QD-Mini LED Smart TV with Google TV (2025)",349.99,699.99,https://api.bestbuy.com/click/-/6625835/pdp,FALSE
